"sp","long","lat"
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.651,-22.407
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.876,-22.428
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.07,-20.893
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.429,-21.08
"Ouratea semiserrata (Mart. & Nees) Engl.",-42.615,-21.245
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.105,-21.273
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.252,-21.551
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.318,-21.748
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.622,-22.766
"Ouratea semiserrata (Mart. & Nees) Engl.",-49.719,-24.111
"Ouratea semiserrata (Mart. & Nees) Engl.",-50.033,-25.221
"Ouratea semiserrata (Mart. & Nees) Engl.",-47.415,-20.416
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.916,-20.845
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.473,-21.155
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.904,-21.158
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.121,-21.193
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.789,-21.225
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.971,-21.229
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.609,-21.353
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.28,-21.371
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.398,-21.617
"Ouratea semiserrata (Mart. & Nees) Engl.",-43.703,-21.191
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.986,-21.331
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.945,-21.686
"Ouratea semiserrata (Mart. & Nees) Engl.",-45.323,-21.934
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.567,-22.048
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.348,-22.081
"Ouratea semiserrata (Mart. & Nees) Engl.",-46.556,-21.773
"Ouratea semiserrata (Mart. & Nees) Engl.",-44.143,-21.067
"Leandra carassana (DC.) Cogn.",-39.331,-15.165
"Leandra carassana (DC.) Cogn.",-39.575,-15.382
"Leandra carassana (DC.) Cogn.",-40.729,-20.016
"Leandra carassana (DC.) Cogn.",-41.174,-20.303
"Leandra carassana (DC.) Cogn.",-41.468,-20.379
"Leandra carassana (DC.) Cogn.",-41.74,-20.493
"Leandra carassana (DC.) Cogn.",-42.482,-20.701
"Leandra carassana (DC.) Cogn.",-41.844,-20.441
"Leandra carassana (DC.) Cogn.",-43.501,-20.434
"Leandra carassana (DC.) Cogn.",-43.512,-20.18
"Leandra carassana (DC.) Cogn.",-43.458,-20.079
"Leandra carassana (DC.) Cogn.",-41.798,-13.32
"Leandra carassana (DC.) Cogn.",-43.614,-18.265
"Leandra carassana (DC.) Cogn.",-41.963,-13.511
"Leandra carassana (DC.) Cogn.",-50.038,-27.092
"Leandra carassana (DC.) Cogn.",-49.77,-27.27
"Leandra carassana (DC.) Cogn.",-42.531,-22.305
"Leandra carassana (DC.) Cogn.",-43.413,-22.551
"Leandra carassana (DC.) Cogn.",-45.753,-23.624
"Leandra carassana (DC.) Cogn.",-46.325,-23.769
"Leandra carassana (DC.) Cogn.",-48.935,-24.69
"Leandra carassana (DC.) Cogn.",-48.901,-25.333
"Leandra carassana (DC.) Cogn.",-49.141,-26.187
"Leandra carassana (DC.) Cogn.",-49.947,-26.549
"Leandra carassana (DC.) Cogn.",-50.04,-26.73
"Leandra carassana (DC.) Cogn.",-50.13,-27
"Leandra carassana (DC.) Cogn.",-49.23,-27.09
"Leandra carassana (DC.) Cogn.",-49.68,-27.18
"Leandra carassana (DC.) Cogn.",-50.13,-27.18
"Leandra carassana (DC.) Cogn.",-49.41,-27.27
"Leandra carassana (DC.) Cogn.",-49.771,-27.45
"Leandra carassana (DC.) Cogn.",-49.05,-27.54
"Leandra carassana (DC.) Cogn.",-49.23,-27.9
"Leandra carassana (DC.) Cogn.",-48.87,-28.08
"Leandra carassana (DC.) Cogn.",-49.522,-28.462
"Leandra carassana (DC.) Cogn.",-44.54,-22.217
"Leandra carassana (DC.) Cogn.",-44.623,-22.428
"Leandra carassana (DC.) Cogn.",-42.95,-22.454
"Leandra carassana (DC.) Cogn.",-44.393,-22.825
"Leandra carassana (DC.) Cogn.",-49.41,-26.55
"Leandra carassana (DC.) Cogn.",-49.538,-26.896
"Leandra carassana (DC.) Cogn.",-49.15,-27.628
"Leandra carassana (DC.) Cogn.",-43.89,-21.969
"Leandra carassana (DC.) Cogn.",-48.97,-25.523
"Leandra carassana (DC.) Cogn.",-48.859,-25.609
"Leandra carassana (DC.) Cogn.",-48.691,-25.627
"Leandra carassana (DC.) Cogn.",-49.05,-26.1
"Leandra carassana (DC.) Cogn.",-50.223,-26.817
"Leandra carassana (DC.) Cogn.",-49.771,-27.54
"Leandra carassana (DC.) Cogn.",-48.819,-27.822
"Leandra carassana (DC.) Cogn.",-49.496,-28.172
"Leandra carassana (DC.) Cogn.",-42.882,-21.964
"Leandra carassana (DC.) Cogn.",-45.944,-22.723
"Leandra carassana (DC.) Cogn.",-46.031,-22.88
"Leandra carassana (DC.) Cogn.",-49.588,-28.432
"Leandra carassana (DC.) Cogn.",-44.651,-22.407
"Leandra carassana (DC.) Cogn.",-44.876,-22.428
"Leandra carassana (DC.) Cogn.",-43.913,-21.741
"Leandra carassana (DC.) Cogn.",-44.603,-22.336
"Leandra carassana (DC.) Cogn.",-46.104,-22.785
"Leandra carassana (DC.) Cogn.",-44.772,-22.127
"Leandra carassana (DC.) Cogn.",-45.622,-22.766
"Leandra carassana (DC.) Cogn.",-49.305,-25.418
"Leandra carassana (DC.) Cogn.",-49.818,-28.55
"Leandra carassana (DC.) Cogn.",-50.201,-29.313
"Leandra carassana (DC.) Cogn.",-50.392,-29.421
"Leandra carassana (DC.) Cogn.",-52.194,-24.562
"Leandra carassana (DC.) Cogn.",-52.997,-24.987
"Leandra carassana (DC.) Cogn.",-50.018,-25.6
"Leandra carassana (DC.) Cogn.",-50.251,-25.651
"Leandra carassana (DC.) Cogn.",-49.715,-25.816
"Leandra carassana (DC.) Cogn.",-51.519,-26.096
"Leandra carassana (DC.) Cogn.",-52.678,-26.193
"Leandra carassana (DC.) Cogn.",-52.217,-26.317
"Leandra carassana (DC.) Cogn.",-51.837,-24.771
"Leandra carassana (DC.) Cogn.",-51.285,-25.075
"Leandra carassana (DC.) Cogn.",-50.674,-28.928
"Leandra carassana (DC.) Cogn.",-44.986,-21.331
"Leandra carassana (DC.) Cogn.",-44.945,-21.686
"Leandra carassana (DC.) Cogn.",-46.253,-21.922
"Leandra carassana (DC.) Cogn.",-45.323,-21.934
"Leandra carassana (DC.) Cogn.",-46.556,-21.773
