"","sp","lon","lat"
"529","Aplastodiscus_perviridis",-49.0769,-25.3656
"530","Aplastodiscus_perviridis",-49.090205,-27.673486
"531","Aplastodiscus_perviridis",-49.021667,-27.6725
"532","Aplastodiscus_perviridis",-48.7656,-24.2208
"533","Aplastodiscus_perviridis",-48.759722,-24.22
"535","Aplastodiscus_perviridis",-48.36,-24.090278
"536","Aplastodiscus_perviridis",-49.478611,-26.312222
"537","Aplastodiscus_perviridis",-49.7975,-26.1058
"538","Aplastodiscus_perviridis",-45.6625,-22.8272
"539","Aplastodiscus_perviridis",-45.66,-22.82
"540","Aplastodiscus_perviridis",-49.311944,-26.312222
"541","Aplastodiscus_perviridis",-49.378333,-26.250556
"544","Aplastodiscus_perviridis",-52.5317,-26.5581
"546","Aplastodiscus_perviridis",-50.5836,-29.4481
"547","Aplastodiscus_perviridis",-49.931667,-28.293889
"548","Aplastodiscus_perviridis",-44.566667,-22.633333
"549","Aplastodiscus_perviridis",-44.586579,-22.743167
"550","Aplastodiscus_perviridis",-44.569722,-22.64
"552","Aplastodiscus_perviridis",-49.2064,-25.5347
"553","Aplastodiscus_perviridis",-48.65883114,-16.63858255
"554","Aplastodiscus_perviridis",-47.45,-23.5
"555","Aplastodiscus_perviridis",-45.625,-23.0264
"556","Aplastodiscus_perviridis",-50.6156,-24.3239
"557","Aplastodiscus_perviridis",-49.1989,-25.9281
"558","Aplastodiscus_perviridis",-49.478611,-28.119722
"559","Aplastodiscus_perviridis",-49.591667,-28.015
"561","Aplastodiscus_perviridis",-49.580833,-27.976667
"562","Aplastodiscus_perviridis",-51.74,-27.0067
"580","Barycholos_ternetzi",-46.983709,-11.317098
"581","Barycholos_ternetzi",-49.5564,-8.80361
"582","Barycholos_ternetzi",-48.77595,-15.796558
"583","Barycholos_ternetzi",-49.26651,-16.679616
"584","Barycholos_ternetzi",-49.7864,-19.2133
"585","Barycholos_ternetzi",-47.133724,-19.200463
"586","Barycholos_ternetzi",-51.715416,-17.889337
"587","Barycholos_ternetzi",-46.194819,-14.354612
"588","Barycholos_ternetzi",-52.536532,-17.586557
"589","Barycholos_ternetzi",-49.104011,-17.730731
"590","Barycholos_ternetzi",-49.1933,-16.2203
"591","Barycholos_ternetzi",-47.370673,-20.187688
"592","Barycholos_ternetzi",-48.957062,-15.855725
"593","Barycholos_ternetzi",-51.840414,-16.517666
"594","Barycholos_ternetzi",-50.436799,-18.446842
"595","Barycholos_ternetzi",-50.911245,-17.789894
"596","Barycholos_ternetzi",-48.339277,-14.140997
"597","Barycholos_ternetzi",-51.969308,-18.294616
"598","Barycholos_ternetzi",-48.660117,-16.641006
"599","Barycholos_ternetzi",-46.249543,-14.809614
"600","Barycholos_ternetzi",-49.0797,-16.3947
"601","Barycholos_ternetzi",-48.276944,-18.918611
"603","Bokermannohyla_alvarengai",-43.466667,-20.083333
"604","Bokermannohyla_alvarengai",-43.567885,-18.196471
"605","Bokermannohyla_alvarengai",-43.616683,-17.789432
"606","Bokermannohyla_alvarengai",-42.8897,-16.5594
"607","Bokermannohyla_alvarengai",-42.992635,-16.464008
"608","Bokermannohyla_alvarengai",-43.744722,-19.513611
"610","Bokermannohyla_alvarengai",-43.718738,-19.441719
"611","Bokermannohyla_alvarengai",-43.714167,-19.169167
"613","Bokermannohyla_alvarengai",-43.534826,-19.37864
"614","Bokermannohyla_alvarengai",-43.761179,-17.866322
"615","Bokermannohyla_alvarengai",-43.64,-19.3475
"616","Bokermannohyla_alvarengai",-43.644168,-19.190106
"617","Bokermannohyla_alvarengai",-43.346233,-18.445424
"623","Bokermannohyla_caramaschii",-42.486111,-20.715278
"624","Bokermannohyla_caramaschii",-42.409444,-20.606111
"625","Bokermannohyla_caramaschii",-40.600278,-19.936389
"626","Bokermannohyla_caramaschii",-41.112778,-20.848889
"627","Bokermannohyla_caramaschii",-40.6,-19.933333
"628","Bokermannohyla_caramaschii",-41.1847,-20.6036
"629","Bokermannohyla_caramaschii",-40.635372,-19.87743
"630","Bokermannohyla_caramaschii",-40.659167,-20.363333
"633","Bokermannohyla_caramaschii",-42.52887,-20.88808
"634","Bokermannohyla_caramaschii",-42.434444,-20.725833
"635","Bokermannohyla_caramaschii",-42.478611,-20.721944
"637","Bokermannohyla_caramaschii",-40.40776,-19.93704
"638","Bokermannohyla_caramaschii",-41.730278,-20.497222
"639","Bokermannohyla_caramaschii",-40.773555,-20.430738
"640","Bokermannohyla_caramaschii",-40.683056,-20.412778
"641","Bokermannohyla_caramaschii",-39.5652778,-15.3916667
"642","Bokermannohyla_caramaschii",-40.746111,-20.040556
"643","Bokermannohyla_caramaschii",-42.00905,-20.1341
"646","Bokermannohyla_circumdata",-48.77,-22.19
"647","Bokermannohyla_circumdata",-46.1447,-22.7553
"648","Bokermannohyla_circumdata",-45.59,-22.73
"649","Bokermannohyla_circumdata",-45.53158,-22.699226
"650","Bokermannohyla_circumdata",-45.458441,-22.673752
"651","Bokermannohyla_circumdata",-45.44333,-23.5837
"652","Bokermannohyla_circumdata",-43.4075,-20.0747
"654","Bokermannohyla_circumdata",-43.1786,-22.505
"655","Bokermannohyla_circumdata",-47.71,-23.81
"656","Bokermannohyla_circumdata",-49.0633,-25.4417
"657","Bokermannohyla_circumdata",-39.5652778,-15.3916667
"658","Bokermannohyla_circumdata",-48.3653,-24.0992
"659","Bokermannohyla_circumdata",-44.569722,-22.64
"661","Bokermannohyla_circumdata",-49.2064,-25.5347
"662","Bokermannohyla_circumdata",-45.31,-23.22
"663","Bokermannohyla_circumdata",-47.5,-23.96
"664","Bokermannohyla_circumdata",-49.1989,-25.9281
"665","Bokermannohyla_circumdata",-45.0711,-23.4339
"672","Bokermannohyla_hylax",-48.788813,-22.16862
"673","Bokermannohyla_hylax",-48.500426,-27.61715
"675","Bokermannohyla_hylax",-48.4390111,-27.5600431
"676","Bokermannohyla_hylax",-48.812748,-25.790399
"677","Bokermannohyla_hylax",-47.258239,-24.435714
"678","Bokermannohyla_hylax",-48.600841,-24.455993
"679","Bokermannohyla_hylax",-48.954504,-26.245438
"680","Bokermannohyla_hylax",-38.143456,-12.477061
"681","Bokermannohyla_hylax",-48.841809,-25.499088
"682","Bokermannohyla_hylax",-47.333333,-23.816667
"683","Bokermannohyla_hylax",-45.843097,-23.579082
"684","Bokermannohyla_hylax",-48.7786,-27.6881
"685","Bokermannohyla_hylax",-39.569109,-12.727954
"686","Bokermannohyla_hylax",-46.6105,-23.5879
"687","Bokermannohyla_hylax",-47.9605,-24.136557
"688","Bokermannohyla_hylax",-47.45,-23.95
"784","Brachycephalus_ephippium",-46.5503,-23.1169
"785","Brachycephalus_ephippium",-46.549722,-23.110278
"787","Brachycephalus_ephippium",-44.653292,-22.354246
"788","Brachycephalus_ephippium",-47.06,-22.9
"789","Brachycephalus_ephippium",-42.200365,-22.467152
"790","Brachycephalus_ephippium",-46.933331,-23.616671
"791","Brachycephalus_ephippium",-46.9192,-23.6039
"792","Brachycephalus_ephippium",-46.909722,-23.600278
"793","Brachycephalus_ephippium",-44.56,-22.5
"794","Brachycephalus_ephippium",-44.563056,-22.496111
