Especies,lat,lon
Aparasphenodon_brunoi,-22.960241,-42.836468
Aparasphenodon_brunoi,-19.678756,-42.551706
Aparasphenodon_brunoi,-21.293291,-40.963276
Aparasphenodon_brunoi,-21.25,-40.966667
Aparasphenodon_brunoi,-23.05,-43.533333
Aparasphenodon_brunoi,-22.921177,-43.449881
Aparasphenodon_brunoi,-22.903056,-43.2075
Aparasphenodon_brunoi,-19.196944,-40.097778
Aparasphenodon_brunoi,-23.496295,-45.120381
Aparasphenodon_brunoi,-23.430278,-45.069722
Aparasphenodon_brunoi,-15.3,-39.083333
Aparasphenodon_brunoi,-20.329722,-40.292222
Aparasphenodon_brunoi,-20.266667,-40.3
Aparasphenodon_brunoi,-16.65,-39.083333
Aparasphenodon_pomba,-21.338158,-42.762573
Aparasphenodon_venezolanus,-2.253437217,-62.65101347
Aparasphenodon_venezolanus,-1.9125,-61.588889
Aplastodiscus_albofrenatus,-23.5837,-45.44333
Aplastodiscus_albofrenatus,-23.058004,-43.9739294
Aplastodiscus_albofrenatus,-23.0842778,-44.0038699
Aplastodiscus_albofrenatus,-22.921177,-43.449881
Aplastodiscus_albosignatus,-24.334955,-48.330611
Aplastodiscus_albosignatus,-25.815743,-48.7708971
Aplastodiscus_albosignatus,-23.655202,-45.888728
Aplastodiscus_albosignatus,-25.750477,-49.183757
Aplastodiscus_arildae,-19.9325,-43.942222
Aplastodiscus_arildae,-20.518519,-41.085978
Aplastodiscus_arildae,-20.083807,-43.467035
Aplastodiscus_arildae,-20.399797,-41.023436
Aplastodiscus_arildae,-23.23381,-46.933734
Aplastodiscus_arildae,-23.655202,-45.889005
Aplastodiscus_arildae,-22.866875,-42.554813
Aplastodiscus_callipygius,-22.354246,-44.653292
Aplastodiscus_callipygius,-22.752021,-46.148476
Aplastodiscus_callipygius,-22.699226,-45.53158
Aplastodiscus_callipygius,-24.283333,-48.45
Aplastodiscus_callipygius,-22.291045,-44.87089
Aplastodiscus_callipygius,-22.616521,-45.176886
Aplastodiscus_cavicola,-19.93333,-40.6
Aplastodiscus_cavicola,-19.733333,-41.816667
Aplastodiscus_cavicola,-20.467778,-43.863056
Aplastodiscus_cavicola,-20.46417,-43.88639
Aplastodiscus_cavicola,-19.873056,-43.3475
Aplastodiscus_cavicola,-20.3633,-40.6592
Aplastodiscus_cavicola,-21.7642,-43.3503
Aplastodiscus_cavicola,-19.901389,-40.543889
Aplastodiscus_cavicola,-20.6714,-41.0069
Aplastodiscus_cavicola,-20.7539,-42.8819
Aplastodiscus_cochranae,-27.730482,-48.930429
Aplastodiscus_cochranae,-27.7410617,-48.90305097
Aplastodiscus_cochranae,-27.570482,-48.980429
Aplastodiscus_cochranae,-27.46822097,-48.83000417
Aplastodiscus_cochranae,-27.01081621,-49.14928086
Aplastodiscus_cochranae,-27.680482,-49.010429
Aplastodiscus_cochranae,-28.05025023,-49.06641371
Aplastodiscus_cochranae,-28.5451705,-49.47048434
Aplastodiscus_cochranae,-27.98016806,-49.61018292
Aplastodiscus_ehrhardti,-27.691944,-48.980556
Aplastodiscus_ehrhardti,-27.999722,-49.084722
Aplastodiscus_ehrhardti,-27.899722,-49.133056
Aplastodiscus_ehrhardti,-27.0725,-49.091111
Aplastodiscus_ehrhardti,-26.181389,-49.252778
Aplastodiscus_ehrhardti,-26.425833,-49.243056
Aplastodiscus_ehrhardti,-25.874167,-48.902222
Aplastodiscus_ehrhardti,-26.191111,-49.03
Aplastodiscus_ehrhardti,-22.808333,-45.461667
Aplastodiscus_ehrhardti,-27.716667,-48.816667
Aplastodiscus_ehrhardti,-27.688056,-48.778333
Aplastodiscus_ehrhardti,-26.312222,-49.311944
Aplastodiscus_ehrhardti,-25.6875,-49.059722
Aplastodiscus_eugenioi,-23.620481,-45.400391
Aplastodiscus_eugenioi,-22.550482,-43.680376
Aplastodiscus_eugenioi,-22.950483,-44.030379
Aplastodiscus_eugenioi,-22.901389,-44.018889
Aplastodiscus_eugenioi,-23.430481,-45.34039
Aplastodiscus_eugenioi,-22.750483,-43.450375
Aplastodiscus_eugenioi,-23.430481,-45.080388
Aplastodiscus_flumineus,-22.400483,-43.01037
Aplastodiscus_ibirapitanga,-13.95,-39.45
Aplastodiscus_ibirapitanga,-13.833333,-39.166667
Aplastodiscus_ibirapitanga,-17.216667,-42.583333
Aplastodiscus_ibirapitanga,-17.166667,-39.833333
Aplastodiscus_ibirapitanga,-15.933333,-39.633333
Aplastodiscus_ibirapitanga,-16.498011,-39.255374
Aplastodiscus_ibirapitanga,-17.084274,-39.300341
Aplastodiscus_ibirapitanga,-13.7,-39.233333
Aplastodiscus_ibirapitanga,-15.293333,-39.075279
Aplastodiscus_leucopygius,-23.158613,-44.221869
Aplastodiscus_leucopygius,-23.083333,-46.75
Aplastodiscus_leucopygius,-23.183333,-46.866667
Aplastodiscus_leucopygius,-23.533864,-45.834484
Aplastodiscus_leucopygius,-24.008218,-47.615958
Aplastodiscus_musicus,-22.400483,-43.01037
Aplastodiscus_perviridis,-26.566667,-52.45
Aplastodiscus_perviridis,-27.733333,-48.916667
Aplastodiscus_perviridis,-27.689167,-51.13
Aplastodiscus_perviridis,-27.999722,-49.084722
Aplastodiscus_perviridis,-23.110278,-46.549722
Aplastodiscus_perviridis,-22.886667,-48.445
Aplastodiscus_perviridis,-22.8858,-48.445
Aplastodiscus_perviridis,-22.88,-48.439722
Aplastodiscus_perviridis,-22.88,-48.44
Aplastodiscus_perviridis,-23.3,-47.13
Aplastodiscus_perviridis,-26.745556,-51.3175
Aplastodiscus_perviridis,-23.0094,-45.7478
Aplastodiscus_perviridis,-22.755556,-46.144444
Aplastodiscus_perviridis,-22.7553,-46.1447
Aplastodiscus_perviridis,-26.181389,-49.252778
Aplastodiscus_perviridis,-27.899167,-50.760833
Aplastodiscus_perviridis,-22.73,-45.59
Aplastodiscus_perviridis,-22.699226,-45.53158
Aplastodiscus_perviridis,-22.673752,-45.458441
Aplastodiscus_perviridis,-27.575,-51.169444
Aplastodiscus_perviridis,-25.5722,-52.0558
Aplastodiscus_perviridis,-26.166667,-50.399722
Aplastodiscus_perviridis,-27.3436,-51.6119
Aplastodiscus_perviridis,-27.185667,-52.619389
Aplastodiscus_perviridis,-22.5761,-44.9628
Aplastodiscus_perviridis,-22.5558,-45.0497
Aplastodiscus_perviridis,-23.8492,-50.4031
Aplastodiscus_perviridis,-26.4275,-51.3156
Aplastodiscus_perviridis,-24.18,-48.53
Aplastodiscus_perviridis,-25.395556,-51.458056
Aplastodiscus_perviridis,-27.088889,-52.779722
Aplastodiscus_perviridis,-27.088861,-52.779806
Aplastodiscus_perviridis,-24.4167,-48.5
Aplastodiscus_perviridis,-26.6314,-52.455
Aplastodiscus_perviridis,-23.100278,-48.61
Aplastodiscus_perviridis,-27.816111,-50.326111
Aplastodiscus_perviridis,-27.8161,-50.3261
Aplastodiscus_perviridis,-27.8,-50.316667
Aplastodiscus_perviridis,-28.398333,-49.551944
Aplastodiscus_perviridis,-26.8575,-50.686667
Aplastodiscus_perviridis,-23.3103,-51.1628
Aplastodiscus_perviridis,-22.63132968,-46.30727419
Aplastodiscus_perviridis,-24.2083,-50.9494
Aplastodiscus_perviridis,-27.333056,-51.6
Aplastodiscus_perviridis,-26.4842,-51.9906
Aplastodiscus_perviridis,-23.018135,-44.677904
Aplastodiscus_perviridis,-26.773933,-51.939986
Aplastodiscus_perviridis,-23.81,-47.71
Aplastodiscus_perviridis,-22.8708,-45.5225
Aplastodiscus_perviridis,-24.578514,-49.920511
Aplastodiscus_perviridis,-21.788056,-46.561389
Aplastodiscus_perviridis,-21.7878,-46.5614
Aplastodiscus_perviridis,-25.230468,-50.006119
Aplastodiscus_perviridis,-26.871667,-52.015833
Aplastodiscus_perviridis,-26.783,-51.9
Aplastodiscus_perviridis,-29.196667,-49.950278
Aplastodiscus_perviridis,-25.3656,-49.0769
Aplastodiscus_perviridis,-27.673486,-49.090205
Aplastodiscus_perviridis,-27.6725,-49.021667
Aplastodiscus_perviridis,-24.2208,-48.7656
Aplastodiscus_perviridis,-24.22,-48.759722
Aplastodiscus_perviridis,-24.22,-48.76
Aplastodiscus_perviridis,-24.090278,-48.36
Aplastodiscus_perviridis,-26.312222,-49.478611
Aplastodiscus_perviridis,-26.1058,-49.7975
Aplastodiscus_perviridis,-22.8272,-45.6625
Aplastodiscus_perviridis,-22.82,-45.66
Aplastodiscus_perviridis,-26.312222,-49.311944
Aplastodiscus_perviridis,-26.250556,-49.378333
Aplastodiscus_perviridis,-26.2503,-49.3786
Aplastodiscus_perviridis,-26.250278,-49.378611
Aplastodiscus_perviridis,-26.5581,-52.5317
Aplastodiscus_perviridis,-26.558056,-52.531667
Aplastodiscus_perviridis,-29.4481,-50.5836
Aplastodiscus_perviridis,-28.293889,-49.931667
Aplastodiscus_perviridis,-22.633333,-44.566667
Aplastodiscus_perviridis,-22.743167,-44.586579
Aplastodiscus_perviridis,-22.64,-44.569722
Aplastodiscus_perviridis,-22.64,-44.57
Aplastodiscus_perviridis,-25.5347,-49.2064
Aplastodiscus_perviridis,-16.63858255,-48.65883114
Aplastodiscus_perviridis,-23.5,-47.45
Aplastodiscus_perviridis,-23.0264,-45.625
Aplastodiscus_perviridis,-24.3239,-50.6156
Aplastodiscus_perviridis,-25.9281,-49.1989
Aplastodiscus_perviridis,-28.119722,-49.478611
Aplastodiscus_perviridis,-28.015,-49.591667
Aplastodiscus_perviridis,-28.015,-49.5917
Aplastodiscus_perviridis,-27.976667,-49.580833
Aplastodiscus_perviridis,-27.0067,-51.74
Aplastodiscus_sibilatus,-9.250432,-35.83363
Aplastodiscus_sibilatus,-13.950454,-39.450328
Aplastodiscus_sibilatus,-13.833787,-39.166992
Aplastodiscus_sibilatus,-13.850453,-39.666996
Aplastodiscus_sibilatus,-13.517119,-39.050325
Aplastodiscus_sibilatus,-12.850448,-39.466993
Aplastodiscus_weygoldti,-16.03898,-40.844016
Aplastodiscus_weygoldti,-20.364573,-40.660419
